[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,NW,SE
Up ID,1,,,,3,,
Lanes,1,,,,2,,
Name,1,,,,,,
Distance,1,,,,63.1,,
Speed,1,,,,40,,
Time,1,,,,5.7,,
Grade,1,,,,0,,
Median,1,,,,3.7,,
Offset,1,,,,0.0,,
TWLTL,1,,,,0,,
Crosswalk Width,1,,,,4.9,,
Mandatory Distance,1,,,,60.0,,
Mandatory Distance2,1,,,,333.3,,
Positioning Distance,1,,,,222.2,,
Positioning Distance2,1,,,,444.4,,
Curve Pt X,1,,,,,,
Curve Pt Y,1,,,,,,
Curve Pt Z,1,,,,,,
Link Is Hidden,1,,,,false,,
Street Name Is Hidden,1,,,,false,,
Up ID,2,,,17,,,
Lanes,2,,,2,,,
Name,2,,,,,,
Distance,2,,,374.4,,,
Speed,2,,,40,,,
Time,2,,,33.7,,,
Grade,2,,,0,,,
Median,2,,,0.0,,,
Offset,2,,,0.0,,,
TWLTL,2,,,0,,,
Crosswalk Width,2,,,4.9,,,
Mandatory Distance,2,,,60.0,,,
Mandatory Distance2,2,,,333.3,,,
Positioning Distance,2,,,222.2,,,
Positioning Distance2,2,,,444.4,,,
Curve Pt X,2,,,,,,
Curve Pt Y,2,,,,,,
Curve Pt Z,2,,,,,,
Link Is Hidden,2,,,false,,,
Street Name Is Hidden,2,,,false,,,
Up ID,3,5,4,1,6,,
Lanes,3,2,2,3,2,,
Name,3,,6th Ave S,,,,
Distance,3,58.2,54.6,63.1,100.6,,
Speed,3,40,40,40,40,,
Time,3,5.2,4.9,5.7,9.1,,
Grade,3,0,0,0,0,,
Median,3,3.7,3.7,3.7,3.7,,
Offset,3,0.0,0.0,0.0,0.0,,
TWLTL,3,0,0,0,0,,
Crosswalk Width,3,4.9,4.9,4.9,4.9,,
Mandatory Distance,3,76.0,76.0,76.0,76.0,,
Mandatory Distance2,3,333.3,333.3,333.3,333.3,,
Positioning Distance,3,222.2,222.2,222.2,222.2,,
Positioning Distance2,3,444.4,444.4,444.4,444.4,,
