[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.0
allRedTime,1.5
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,01/19/2021
ScenarioTime,6:17 pm

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,726,-3221,0,,,,,,
2,1,4045,-3213,0,,,,,,
3,0,933,-3222,0,,,,,,
4,1,934,-3043,0,,,,,,
5,1,932,-3413,0,,,,,,
6,0,1263,-3223,0,,,,,,
7,1,1268,-2958,0,,,,,,
8,1,1257,-3510,0,,,,,,
9,0,1588,-3231,0,,,,,,
10,1,1590,-2952,0,,,,,,
11,1,1579,-3506,0,,,,,,
12,0,1910,-3225,0,,,,,,
13,1,1906,-2892,0,,,,,,
14,1,1913,-3515,0,,,,,,
15,1,2154,-2703,0,,,,,,
16,0,2150,-3220,0,,,,,,
17,0,2817,-3236,0,,,,,,
18,1,2947,-3453,0,,,,,,
19,1,2663,-2819,0,,,,,,
20,1,2850,-2347,0,,,,,,
21,2,2866,-2866,0,,,,,,
22,1,2938,-3053,0,,,,,,
23,1,2611,-3573,0,,,,,,
24,0,2692,-3229,0,,,,,,
25,0,2822,-3319,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,NW,SE
Up ID,1,,,,3,,
Lanes,1,,,,2,,
Name,1,,,,,,
Distance,1,,,,207,,
Speed,1,,,,25,,
Time,1,,,,5.6,,
Grade,1,,,,0,,
Median,1,,,,12,,
Offset,1,,,,0,,
TWLTL,1,,,,0,,
Crosswalk Width,1,,,,16,,
Mandatory Distance,1,,,,200,,
Mandatory Distance2,1,,,,1101,,
Positioning Distance,1,,,,734,,
Positioning Distance2,1,,,,1468,,
Curve Pt X,1,,,,,,
Curve Pt Y,1,,,,,,
Curve Pt Z,1,,,,,,
Link Is Hidden,1,,,,false,,
Street Name Is Hidden,1,,,,false,,
Up ID,2,,,17,,,
Lanes,2,,,2,,,
Name,2,,,,,,
Distance,2,,,1228,,,
Speed,2,,,25,,,
Time,2,,,33.5,,,
Grade,2,,,0,,,
Median,2,,,0,,,
Offset,2,,,0,,,
TWLTL,2,,,0,,,
Crosswalk Width,2,,,16,,,
Mandatory Distance,2,,,200,,,
Mandatory Distance2,2,,,1101,,,
Positioning Distance,2,,,734,,,
Positioning Distance2,2,,,1468,,,
Curve Pt X,2,,,,,,
Curve Pt Y,2,,,,,,
Curve Pt Z,2,,,,,,
Link Is Hidden,2,,,false,,,
Street Name Is Hidden,2,,,false,,,
Up ID,3,5,4,1,6,,
Lanes,3,2,2,3,2,,
Name,3,,6th Ave S,,,,
Distance,3,191,179,207,330,,
Speed,3,25,25,25,25,,
Time,3,5.2,4.9,5.6,9.0,,
Grade,3,0,0,0,0,,
Median,3,12,12,12,12,,
Offset,3,0,0,0,0,,
TWLTL,3,0,0,0,0,,
Crosswalk Width,3,16,16,16,16,,
