[Lanes]
Lane Group Data
RECORDNAME,INTID,NBL,NBT,NBR,NBR2,SBL2,SBL,SBT,SBR,EBL,EBT,EBR,EBR2,WBL2,WBL,WBT,WBR,NWL2,NWL,NWT,NWR,NWR2,SEL,SET,PED,HOLD
Up Node,3,5,5,5,,,4,4,4,1,1,1,,,6,6,6,,,,,,,,,
Dest Node,3,1,4,6,,,6,5,1,4,6,5,,,5,1,4,,,,,,,,,
Lanes,3,1,1,0,,,1,0,1,1,2,0,,,0,2,0,,,,,,,,,
Shared,3,0,2,,,,0,0,,0,0,,,,0,2,,,,,,,,,,
Width,3,3.7,3.7,3.7,,,3.7,3.7,3.7,3.7,3.7,3.7,,,3.7,3.7,3.7,,,,,,,,,
Storage,3,,,,,,,,,19.8,,45.7,,,45.7,,45.7,,,,,,,,,
Taper,3,,,,,,,,,7.6,,7.6,,,7.6,,7.6,,,,,,,,,
StLanes,3,,,,,,,,,1,,0,,,0,,0,,,,,,,,,
Grade,3,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,3,,40,,,,,40,,,40,,,,,40,,,,,,,,,,
Phase1,3,,4,,,,,,,,2,,,,,2,,,,,,,,,,
PermPhase1,3,4,,,,,4,,4,2,,,,,,,,,,,,,,,,
LostTime,3,4.5,4.5,4,,,4.5,4,4.5,4.5,4.5,4,,,4,4.5,4,,,,,,,,,
Lost Time Adjust,3,0,0,0,,,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
IdealFlow,3,1900,1900,1900,,,1900,1900,1900,1900,1900,1900,,,1900,1900,1900,,,,,,,,,
SatFlow,3,1674,1684,0,,,1630,0,1458,1690,3380,0,,,0,3163,0,,,,,,,,,
SatFlowPerm,3,1562,1684,0,,,1111,0,1344,785,3380,0,,,0,3163,0,,,,,,,,,
Allow RTOR,3,1,1,1,,,1,1,1,1,1,1,,,1,1,1,,,,,,,,,
SatFlowRTOR,3,0,35,0,,,0,0,98,0,0,0,,,0,24,0,,,,,,,,,
Volume,3,5,105,35,,,45,0,60,50,125,0,,,0,420,45,,,,,,,,,
Peds,3,71,0,17,,,17,0,71,21,0,18,,,18,0,21,,,,,,,,,
Bicycles,3,0,0,0,,,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
PHF,3,0.88,0.88,0.88,,,0.61,0.61,0.61,0.96,0.96,0.96,,,0.89,0.89,0.89,,,,,,,,,
Growth,3,100,100,100,,,100,100,100,100,100,100,,,100,100,100,,,,,,,,,
HeavyVehicles,3,9,9,9,,,12,12,12,8,8,8,,,13,13,13,,,,,,,,,
BusStops,3,0,0,0,,,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
Midblock,3,,0,,,,,0,,,0,,,,,0,,,,,,,,,,
Distance,3,,58.2,,,,,54.6,,,63.1,,,,,100.6,,,,,,,,,,
TravelTime,3,,5.2,,,,,4.9,,,5.7,,,,,9.1,,,,,,,,,,
Right Channeled,3,,,0,,,,,0,,,0,,,,,0,,,,,,,,,
Alignment,3,0,0,1,,,0,0,1,0,0,1,,,0,0,1,,,,,,,,,
Enter Blocked,3,0,0,0,,,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
HeadwayFact,3,0.99,0.99,0.99,,,0.99,0.99,0.99,0.99,0.99,0.99,,,0.99,0.99,0.99,,,,,,,,,
Turning Speed,3,24,97,14,,,24,97,14,24,97,14,,,24,97,14,,,,,,,,,
FirstDetect,3,6.1,30.5,,,,6.1,,6.1,6.1,30.5,,,,,30.5,,,,,,,,,,
LastDetect,3,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,
DetectPhase1,3,4,4,,,,4,,4,2,2,,,,,2,,,,,,,,,,
DetectPhase2,3,0,0,,,,0,,0,0,0,,,,,0,,,,,,,,,,
DetectPhase3,3,0,0,,,,0,,0,0,0,,,,,0,,,,,,,,,,
DetectPhase4,3,0,0,,,,0,,0,0,0,,,,,0,,,,,,,,,,
SwitchPhase,3,0,0,,,,0,,0,0,0,,,,,0,,,,,,,,,,
numDetects,3,1,2,,,,1,,1,1,2,,,,,2,,,,,,,,,,
DetectPos1,3,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,
DetectSize1,3,6.1,1.8,,,,6.1,,6.1,6.1,1.8,,,,,1.8,,,,,,,,,,
DetectType1,3,3,3,,,,3,,3,3,3,,,,,3,,,,,,,,,,
DetectExtend1,3,0,0,,,,0,,0,0,0,,,,,0,,,,,,,,,,
DetectQueue1,3,0,0,,,,0,,0,0,0,,,,,0,,,,,,,,,,
DetectDelay1,3,0,0,,,,0,,0,0,0,,,,,0,,,,,,,,,,
DetectPos2,3,,28.7,,,,,,,,28.7,,,,,28.7,,,,,,,,,,
DetectSize2,3,,1.8,,,,,,,,1.8,,,,,1.8,,,,,,,,,,
DetectType2,3,,3,,,,,,,,3,,,,,3,,,,,,,,,,
DetectExtend2,3,,0,,,,,,,,0,,,,,0,,,,,,,,,,
Exit Lanes,3,,0,,,,,0,,,0,,,,,0,,,,,,,,,,
CBD,3,,0,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,3,6,159,0,,,74,0,98,52,130,0,,,0,523,0,,,,,,,,,
Up Node,6,8,8,8,,,7,7,7,3,3,3,,,9,9,9,,,,,,,,,
Dest Node,6,3,7,9,,,9,8,3,7,9,8,,,8,3,7,,,,,,,,,
Lanes,6,0,0,0,,,0,1,0,1,2,0,,,1,1,0,,,,,,,,,
Shared,6,0,0,,,,0,3,,0,2,,,,0,2,,,,,,,,,,
