[Phases]
Phasing Data
RECORDNAME,INTID,D1,D2,D3,D4,D5,D6,D7,D8,D9,D11,D12,D15,D16
BRP,3,111,112,211,212,121,122,221,222,311,411,412,421,422
MinGreen,3,,7,,7,,,,,,,,,
MaxGreen,3,,25.5,,25.5,,,,,,,,,
VehExt,3,,0.2,,2,,,,,,,,,
TimeBeforeReduce,3,,0,,0,,,,,,,,,
TimeToReduce,3,,0,,0,,,,,,,,,
MinGap,3,,0.2,,2,,,,,,,,,
Yellow,3,,3.5,,3.5,,,,,,,,,
AllRed,3,,1,,1,,,,,,,,,
Recall,3,,3,,2,,,,,,,,,
Walk,3,,7,,7,,,,,,,,,
DontWalk,3,,8,,12,,,,,,,,,
PedCalls,3,,0,,0,,,,,,,,,
MinSplit,3,,21,,25,,,,,,,,,
DualEntry,3,,1,,1,,,,,,,,,
InhibitMax,3,,0,,0,,,,,,,,,
Start,3,,56,,26,,,,,,,,,
End,3,,26,,56,,,,,,,,,
Yield,3,,21.5,,51.5,,,,,,,,,
Yield170,3,,13.5,,39.5,,,,,,,,,
LocalStart,3,,0,,30,,,,,,,,,
LocalYield,3,,25.5,,55.5,,,,,,,,,
LocalYield170,3,,17.5,,43.5,,,,,,,,,
ActGreen,3,,32,,19,,,,,,,,,
BRP,6,111,112,211,212,121,122,221,222,311,411,412,421,422
MinGreen,6,5,7,,7,5,7,,,,,,,
MaxGreen,6,8.5,17.5,,21.5,6.5,19.5,,,,,,,
VehExt,6,3,0.2,,2,2,0.2,,,,,,,
TimeBeforeReduce,6,0,0,,0,0,0,,,,,,,
TimeToReduce,6,0,0,,0,0,0,,,,,,,
MinGap,6,3,0.2,,2,2,0.2,,,,,,,
Yellow,6,3.5,3.5,,3.5,3.5,3.5,,,,,,,
AllRed,6,0,1,,1,0,1,,,,,,,
Recall,6,0,3,,2,0,3,,,,,,,
Walk,6,,7,,7,,7,,,,,,,
DontWalk,6,,8,,13,,5,,,,,,,
PedCalls,6,,0,,0,,0,,,,,,,
MinSplit,6,10,21,,26,10,18,,,,,,,
DualEntry,6,0,1,,0,0,1,,,,,,,
InhibitMax,6,0,0,,0,0,0,,,,,,,
Start,6,40,52,,14,40,50,,,,,,,
End,6,52,14,,40,50,14,,,,,,,
Yield,6,48.5,9.5,,35.5,46.5,9.5,,,,,,,
Yield170,6,48.5,1.5,,22.5,46.5,4.5,,,,,,,
LocalStart,6,48,0,,22,48,58,,,,,,,
LocalYield,6,56.5,17.5,,43.5,54.5,17.5,,,,,,,
LocalYield170,6,56.5,9.5,,30.5,54.5,12.5,,,,,,,
ActGreen,6,8.1,19.4,,20,2.2,25.3,,,,,,,
BRP,9,111,211,212,121,231,,,,,411,412,421,422
MinGreen,9,7,7,5,7,7,,,,,,,,
MaxGreen,9,21.5,19.5,5.5,21.5,29.5,,,,,,,,
VehExt,9,3,3,3,3,3,,,,,,,,
TimeBeforeReduce,9,0,0,0,0,0,,,,,,,,
TimeToReduce,9,0,0,0,0,0,,,,,,,,
MinGap,9,3,3,3,3,3,,,,,,,,
Yellow,9,3.5,3.5,3.5,3.5,3.5,,,,,,,,
AllRed,9,1,1,1,1,1,,,,,,,,
Recall,9,3,3,0,3,0,,,,,,,,
Walk,9,7,7,,7,,,,,,,,,
DontWalk,9,13,12,,7,,,,,,,,,
PedCalls,9,0,0,,0,,,,,,,,,
MinSplit,9,26,23.5,9.5,20,13,,,,,,,,
DualEntry,9,1,0,0,1,1,,,,,,,,
InhibitMax,9,0,0,0,0,0,,,,,,,,
Start,9,54,20,44,54,20,,,,,,,,
End,9,20,44,54,20,54,,,,,,,,
Yield,9,15.5,39.5,49.5,15.5,49.5,,,,,,,,
Yield170,9,2.5,27.5,49.5,8.5,49.5,,,,,,,,
LocalStart,9,0,26,50,0,26,,,,,,,,
LocalYield,9,21.5,45.5,55.5,21.5,55.5,,,,,,,,
LocalYield170,9,8.5,33.5,55.5,14.5,55.5,,,,,,,,
ActGreen,9,21.5,19.5,5.5,21.5,29.5,,,,,,,,
BRP,12,111,112,211,212,121,122,221,222,311,411,412,421,422
MinGreen,12,,7,,7,,7,,5,,,,,
MaxGreen,12,,28.5,,22.5,,28.5,,18,,,,,
VehExt,12,,3,,3,,3,,3,,,,,
TimeBeforeReduce,12,,0,,0,,0,,0,,,,,
TimeToReduce,12,,0,,0,,0,,0,,,,,
MinGap,12,,3,,3,,3,,3,,,,,
Yellow,12,,3,,3,,3,,3,,,,,
AllRed,12,,1.5,,1.5,,1.5,,1.5,,,,,
Recall,12,,3,,0,,3,,0,,,,,
Walk,12,,7,,7,,7,,7,,,,,
DontWalk,12,,9,,15,,7,,11,,,,,
PedCalls,12,,0,,0,,0,,0,,,,,
MinSplit,12,,22,,27,,20,,22.5,,,,,
DualEntry,12,,1,,0,,1,,1,,,,,
InhibitMax,12,,0,,0,,0,,1,,,,,
Start,12,,41,,14,,41,,14,,,,,
End,12,,14,,41,,14,,41,,,,,
Yield,12,,9.5,,36.5,,9.5,,36.5,,,,,
Yield170,12,,0.5,,36.5,,2.5,,36.5,,,,,
LocalStart,12,,0,,33,,0,,33,,,,,
LocalYield,12,,28.5,,55.5,,28.5,,55.5,,,,,
LocalYield170,12,,19.5,,55.5,,21.5,,55.5,,,,,
ActGreen,12,,47.5,,3.5,,47.5,,3.5,,,,,
BRP,16,111,112,211,212,113,114,222,221,311,411,412,421,422
MinGreen,16,,7,,7,,,7,7,,,,,
MaxGreen,16,,26,,43.5,,,9.5,31,,,,,
VehExt,16,,2,,2,,,2,0.2,,,,,
TimeBeforeReduce,16,,0,,0,,,0,0,,,,,
TimeToReduce,16,,0,,0,,,0,0,,,,,
MinGap,16,,2,,2,,,2,0.2,,,,,
Yellow,16,,3,,3.5,,,3.5,3,,,,,
AllRed,16,,2,,2,,,2,0,,,,,
Recall,16,,3,,0,,,0,0,,,,,
Walk,16,,15,,,,,,7,,,,,
DontWalk,16,,9,,,,,,24,,,,,
PedCalls,16,,0,,,,,,0,,,,,
MinSplit,16,,30,,14,,,14,34,,,,,
DualEntry,16,,0,,1,,,1,0,,,,,
InhibitMax,16,,0,,0,,,0,0,,,,,
Start,16,,0,,31,,,65,31,,,,,
End,16,,31,,0,,,0,65,,,,,
Yield,16,,26,,74.5,,,74.5,62,,,,,
Yield170,16,,17,,74.5,,,74.5,62,,,,,
LocalStart,16,,0,,31,,,65,31,,,,,
LocalYield,16,,26,,74.5,,,74.5,62,,,,,
LocalYield170,16,,17,,74.5,,,74.5,62,,,,,
ActGreen,16,,57.6,,11.9,,,11.9,0,,,,,
BRP,17,111,112,211,212,122,121,221,222,311,411,412,421,422
MinGreen,17,,7,,7,5,7,,,7,,,,
MaxGreen,17,,55.5,,15,30.5,20.5,,,30.5,,,,
VehExt,17,,5,,2,2,2,,,5,,,,
TimeBeforeReduce,17,,0,,0,0,0,,,0,,,,
TimeToReduce,17,,0,,0,0,0,,,0,,,,
MinGap,17,,5,,2,2,2,,,5,,,,
Yellow,17,,3.5,,4,3.5,3.5,,,3.5,,,,
AllRed,17,,1,,1,1,1,,,1,,,,
Recall,17,,0,,0,0,0,,,0,,,,
Walk,17,,,,,,,,,,,,,
DontWalk,17,,,,,,,,,,,,,
PedCalls,17,,,,,,,,,,,,,
MinSplit,17,,13,,13,11,13,,,13,,,,
DualEntry,17,,0,,0,0,0,,,0,,,,
InhibitMax,17,,0,,0,0,0,,,0,,,,
Start,17,,0,,60,25,0,,,80,,,,
End,17,,60,,80,60,25,,,0,,,,
Yield,17,,55.5,,75,55.5,20.5,,,110.5,,,,
Yield170,17,,55.5,,75,55.5,20.5,,,110.5,,,,
LocalStart,17,,0,,60,25,0,,,80,,,,
LocalYield,17,,55.5,,75,55.5,20.5,,,110.5,,,,
LocalYield170,17,,55.5,,75,55.5,20.5,,,110.5,,,,
ActGreen,17,,42.9,,15.6,42.9,0,,,23.7,,,,
BRP,25,111,112,211,212,121,122,221,222,311,411,412,421,422
MinGreen,25,,,,5,,5,,,,,,,
MaxGreen,25,,,,18,,18,,,,,,,
VehExt,25,,,,3,,3,,,,,,,
TimeBeforeReduce,25,,,,0,,0,,,,,,,
TimeToReduce,25,,,,0,,0,,,,,,,
MinGap,25,,,,3,,3,,,,,,,
Yellow,25,,,,3,,3,,,,,,,
AllRed,25,,,,1.5,,1.5,,,,,,,
Recall,25,,,,3,,3,,,,,,,
Walk,25,,,,7,,7,,,,,,,
DontWalk,25,,,,11,,11,,,,,,,
PedCalls,25,,,,0,,0,,,,,,,
MinSplit,25,,,,22.5,,22.5,,,,,,,
DualEntry,25,,,,1,,1,,,,,,,
InhibitMax,25,,,,1,,1,,,,,,,
Start,25,,,,22.5,,0,,,,,,,
End,25,,,,0,,22.5,,,,,,,
Yield,25,,,,40.5,,18,,,,,,,
Yield170,25,,,,29.5,,7,,,,,,,
LocalStart,25,,,,22.5,,0,,,,,,,
LocalYield,25,,,,40.5,,18,,,,,,,
LocalYield170,25,,,,29.5,,7,,,,,,,
ActGreen,25,,,,18,,18,,,,,,,

