[Timeplans]
Timing Plan Settings
RECORDNAME,INTID,DATA
Control Type,5,3
Cycle Length,5,120
Lock Timings,5,0
Referenced To,5,3
Reference Phase,5,2
Offset,5,35
Master,5,0
Yield,5,2
Node 0,5,5
Node 1,5,0
Control Type,23,3
Cycle Length,23,120
Lock Timings,23,0
Referenced To,23,3
Reference Phase,23,1
Offset,23,37
Master,23,0
Yield,23,2
Node 0,23,23
Node 1,23,0
Control Type,24,3
Cycle Length,24,120
Lock Timings,24,0
Referenced To,24,3
Reference Phase,24,106
Offset,24,56
Master,24,0
Yield,24,2
Node 0,24,24
Node 1,24,0
Control Type,26,3
Cycle Length,26,120
Lock Timings,26,0
Referenced To,26,3
Reference Phase,26,206
Offset,26,72
Master,26,0
Yield,26,2
Node 0,26,26
Node 1,26,0
Control Type,30,3
Cycle Length,30,120
Lock Timings,30,0
Referenced To,30,3
Reference Phase,30,2
Offset,30,78
Master,30,0
Yield,30,2
Node 0,30,30
Node 1,30,0
Control Type,32,3
Cycle Length,32,120
Lock Timings,32,0
Referenced To,32,3
Reference Phase,32,206
Offset,32,30
Master,32,0
Yield,32,2
Node 0,32,32
Node 1,32,0
Control Type,100,3
Cycle Length,100,120
Lock Timings,100,0
Referenced To,100,3
Reference Phase,100,206
Offset,100,14
Master,100,0
Yield,100,2
Node 0,100,100
Node 1,100,0
Control Type,102,3
Cycle Length,102,50
Lock Timings,102,0
Referenced To,102,3
Reference Phase,102,2
Offset,102,23
Master,102,0
Yield,102,2
Node 0,102,102
Node 1,102,0
Control Type,103,3
Cycle Length,103,50
Lock Timings,103,0
Referenced To,103,3
Reference Phase,103,2
Offset,103,48
Master,103,0
Yield,103,2
Node 0,103,103
Node 1,103,0
Control Type,104,3
Cycle Length,104,50
Lock Timings,104,0
Referenced To,104,3
Reference Phase,104,2
Offset,104,49
Master,104,0
Yield,104,2
Node 0,104,104
Node 1,104,0
Control Type,105,3
Cycle Length,105,50
Lock Timings,105,0
Referenced To,105,3
Reference Phase,105,2
Offset,105,20
Master,105,0
Yield,105,2
Node 0,105,105
Node 1,105,0
Control Type,106,3
Cycle Length,106,50
Lock Timings,106,0
Referenced To,106,3
Reference Phase,106,2
Offset,106,19
Master,106,0
Yield,106,2
Node 0,106,106
Node 1,106,0
Control Type,107,3
Cycle Length,107,50
Lock Timings,107,0
Referenced To,107,3
Reference Phase,107,2
Offset,107,19
Master,107,0
Yield,107,2
Node 0,107,107
Node 1,107,0
Control Type,111,3
Cycle Length,111,120
Lock Timings,111,0
Referenced To,111,3
Reference Phase,111,206
Offset,111,85
Master,111,0
Yield,111,2
Node 0,111,111
Node 1,111,0
Control Type,112,3
Cycle Length,112,110
Lock Timings,112,0
Referenced To,112,3
Reference Phase,112,206
Offset,112,73
Master,112,0
Yield,112,0
Node 0,112,112
Node 1,112,0
Control Type,113,3
Cycle Length,113,110
Lock Timings,113,0
Referenced To,113,3
Reference Phase,113,206
Offset,113,52
Master,113,0
Yield,113,2
Node 0,113,113
Node 1,113,0
Control Type,114,3
Cycle Length,114,110
Lock Timings,114,0
Referenced To,114,3
Reference Phase,114,206
Offset,114,40
Master,114,0
Yield,114,2
Node 0,114,114
Node 1,114,0
Control Type,115,3
Cycle Length,115,110
Lock Timings,115,0
Referenced To,115,3
Reference Phase,115,206
Offset,115,41
Master,115,0
Yield,115,2
Node 0,115,115
Node 1,115,0
Control Type,116,3
Cycle Length,116,110
Lock Timings,116,0
Referenced To,116,3
Reference Phase,116,206
Offset,116,35
Master,116,0
Yield,116,2
Node 0,116,116
Node 1,116,0
Control Type,117,3
Cycle Length,117,110
Lock Timings,117,0
Referenced To,117,3
Reference Phase,117,206
Offset,117,41
Master,117,0
Yield,117,2
Node 0,117,117
Node 1,117,0
Control Type,118,3
Cycle Length,118,60
Lock Timings,118,0
Referenced To,118,3
Reference Phase,118,2
Offset,118,54
Master,118,0
Yield,118,2
Node 0,118,118
Node 1,118,0
Control Type,119,3
Cycle Length,119,110
Lock Timings,119,0
