,sumoid,synchroid
0,gneJ355,141
1,53073086,164
2,53147418,165
3,4163983439,143
4,53189617,144
5,53146386,146
6,53155734,102
7,53091442,103
8,53247506,104
9,gneJ234,105
10,2476726095,106
11,53036746,107
12,6005458284,112
13,53155727,113
14,53155726,114
15,53155725,115
16,53144256,116
17,53155724,117
18,53155723,119
19,53018668,120
20,3916774509,121
21,1926509619,124
22,1565882716,125
23,gneJ359,225
24,gneJ352,227
25,2481926130,351
26,gneJ356,229
27,53144731,224
28,53142127,223
29,53144733,222
30,53114262,185
31,53114263,184
32,53114264,183
33,53144257,220
34,53144734,221
35,53017297,219
36,53144737,218
37,1178349141,217
38,53142964,216
39,53144740,215
40,53144742,214
41,53144743,213
42,53144744,212
43,53114276,177
44,53086663,211
45,53070134,210
46,gneJ431,153
47,53114280,173
48,53189615,151
49,53114282,172
50,53144746,208
51,53144747,206
52,53114285,170
53,53155393,148
54,53144749,205
55,53144750,204
56,53114289,168
57,53144604,260
58,53146388,263
59,53203471,264
60,53155395,265
61,53091449,266
62,53203470,267
63,53201468,268
64,53070135,269
65,53086664,270
66,53203468,271
67,53148286,272
68,53187904,273
69,53203467,274
70,53142966,275
71,53203466,276
72,53203465,277
73,53200375,278
74,53144260,279
75,53184111,280
76,53203464,281
77,53142130,282
78,gneJ121,283
79,5273265168,284
80,5273270316,285
81,53108778,286
82,4032154590,287
83,53088992,289
84,53082162,256
85,53088990,253
86,53088988,245
87,5076204139,368
88,53128667,366
89,53128666,365
90,53071891,325
91,764028198,323
92,53221905,322
93,2053744124,321
94,gneJ133,320
95,53221381,319
96,53184112,318
97,53144261,317
98,53200376,316
99,53213413,315
100,53205952,314
101,53142967,313
102,53213822,312
103,53187905,311
104,53148287,310
105,53220994,309
106,53086666,308
107,53070136,307
108,53237165,306
109,53237166,305
110,53146390,301
111,53147420,300
112,53146391,330
113,53128144,342
114,53155398,343
115,53091453,344
116,53247507,345
117,53251089,346
118,53070138,347
119,53086667,348
120,53220995,349
121,53148290,350
122,53213823,352
123,53142968,353
124,53205953,354
125,53213414,355
126,53200377,356
127,53144262,357
128,53184113,358
129,53221382,359
130,53142136,360
131,gneJ107,361
132,53221906,362
133,3721753772,363
134,3798496990,411
135,53129297,410
136,53168043,409
137,53247233,407
138,53114228,406
139,53221907,405
140,gneJ108,404
141,gneJ112,403
142,53221383,402
143,53184114,401
144,53144265,400
145,53200378,399
146,53213415,398
147,53205954,396
148,gneJ360,395
149,53142969,394
150,gneJ362,393
151,53213824,392
152,gneJ363,391
153,3618304999,390
154,53187906,389
155,53148292,388
156,53220996,387
157,53086670,386
158,53070139,385
159,53247236,384
160,53247237,383
161,53091454,382
162,53099320,420
163,53147426,429
164,53160878,430
165,1884382810,431
166,53070140,432
167,53086671,433
168,53160874,434
169,53148294,435
170,53160871,436
171,53187907,438
172,53160869,437
173,53072273,439
174,3669043686,440
175,53160865,441
176,53142970,442
177,53160863,443
178,2062150190,444
179,53160861,445
180,30279697,446
181,53045786,447
182,53160858,448
183,53160854,452
184,53160852,453
185,53088999,539
186,53082266,540
187,6336579535,541
188,6336579546,542
189,53221908,496
190,53207669,495
191,53184115,493
192,53144266,492
193,53119471,491
194,53200379,511
195,53142972,509
196,53208941,508
197,53072275,507
198,53187909,506
199,53148299,505
200,gneJ366,504
201,53086674,503
202,53070146,486
203,53147432,550
204,53070509,552
205,53070505,555
206,53070504,556
207,53070503,557
208,53070502,558
209,53070500,559
210,30345462,560
211,53070534,512
212,53070531,516
213,53070522,531
214,53208938,530
215,gneJ464,532
216,53209848,596
217,53209849,593
218,53184118,592
219,53184117,517
220,53184116,515
221,53119474,561
222,53142974,587
223,53147436,605
224,53147435,580
225,53200538,581
226,53148302,572
227,2481938316,614
228,53187913,613
229,53187912,606
230,53187911,583
231,53187910,573
232,53194068,574
233,53194069,584
234,53072277,585
235,53099752,586
236,53205958,588
237,53209850,589
238,53200381,590
239,5606261681,591
240,53184119,518
241,53184120,519
242,53184121,520
243,53073251,522
244,30345078,621
245,53194070,607
246,30345319,625
247,53209761,630
248,53108484,631
249,53072283,626
250,53223115,632
251,53168922,568
252,53168924,569
253,53200831,579
254,30079057,616
255,634,634
256,2906119379,291
257,1487927522,292
258,3624081878,293
259,30003796,198
260,1125210193,417
261,778619633,250
262,2906119381,296
263,1487927529,294
264,53189262,197
265,53189264,297
266,53128671,100
267,1089668757,257
268,1801209605,290
269,1692270811,32
270,53128668,23
271,3153558838,24
272,53131121,26
273,53082272,30
274,gneJ371,298
275,2037272672,160
276,4273733662,5
277,3798496987,710
278,53073250,706
279,53073248,708
280,2706300474,709
281,53073246,712
282,53073245,713
283,53073244,714
284,53071908,682
285,53209840,680
286,53089007,673
287,53144754,200
